,Original Player_FP,POS,AGE,TIERS,RK,Rank,Rank_PFF,Composite Rank
765,,,,,,254.0,6.0,130.0
454,Tyler Shough,QB30,25,11.0,170.0,156.0,64.0,130.0
778,,,,,,255.0,6.0,130.5
791,,,,,,256.0,6.0,131.0
804,,,,,,257.0,6.0,131.5
480,,,,,,194.0,69.0,131.5
493,,,,,,195.0,69.0,132.0
257,Jordan Mason,RB44,26,10.0,159.0,129.0,108.0,132.0
817,,,,,,258.0,6.0,132.0
506,,,,,,197.0,69.0,133.0
405,Stefon Diggs,WR55,31,10.0,131.0,97.0,171.0,133.0
519,,,,,,200.0,69.0,134.5
532,,,,,,201.0,69.0,135.0
470,Zach Charbonnet,RB35,24,10.0,134.0,137.0,136.0,135.67
446,Tyjae Spears,RB42,24,10.0,155.0,143.0,110.0,136.0
222,Javonte Williams,RB41,25,10.0,154.0,121.0,134.0,136.33
292,Keon Coleman,WR52,22,9.0,126.0,151.0,139.0,138.67
91,Dallas Goedert,TE15,30,10.0,135.0,134.0,153.0,140.67
329,Marvin Mims Jr.,WR66,23,10.0,158.0,142.0,122.0,140.67
545,,,,,,216.0,69.0,142.5
80,Cooper Kupp,WR57,32,10.0,136.0,122.0,170.0,142.67
301,Kyle Williams,WR59,22,10.0,138.0,130.0,160.0,142.67
196,Jake Ferguson,TE19,26,10.0,142.0,138.0,149.0,143.0
558,,,,,,217.0,69.0,143.0
571,,,,,,218.0,69.0,143.5
584,,,,,,219.0,69.0,144.0
348,Najee Harris,RB34,27,10.0,132.0,123.0,178.0,144.33
597,,,,,,221.0,69.0,145.0
610,,,,,,222.0,69.0,145.5
202,Jalen Milroe,QB31,22,11.0,188.0,154.0,95.0,145.67
379,Rashid Shaheed,WR58,26,10.0,137.0,139.0,161.0,145.67
623,,,,,,223.0,69.0,146.0
393,Russell Wilson,QB32,36,11.0,195.0,96.0,147.0,146.0
180,J.K. Dobbins,RB52,26,11.0,181.0,118.0,140.0,146.33
830,,,,,,291.0,6.0,148.5
300,Kyle Pitts Sr.,TE13,24,9.0,123.0,177.0,,150.0
410,Tank Bigsby,RB43,22,10.0,156.0,158.0,137.0,150.33
481,,,,,,194.0,107.0,150.5
636,,,,,,233.0,69.0,151.0
71,Christian Kirk,WR60,28,10.0,146.0,131.0,176.0,151.0
494,,,,,,195.0,107.0,151.0
434,Trey Benson,RB36,23,10.0,143.0,170.0,142.0,151.67
507,,,,,,197.0,107.0,152.0
649,,,,,,235.0,69.0,152.0
662,,,,,,237.0,69.0,153.0
520,,,,,,200.0,107.0,153.5
533,,,,,,201.0,107.0,154.0
482,,,,,,194.0,115.0,154.5
495,,,,,,195.0,115.0,155.0
97,Daniel Jones,QB33,28,12.0,210.0,117.0,138.0,155.0
675,,,,,,241.0,69.0,155.0
136,Dylan Sampson,RB50,20,11.0,179.0,178.0,109.0,155.33
380,Rashod Bateman,WR61,25,10.0,147.0,150.0,169.0,155.33
688,,,,,,242.0,69.0,155.5
172,Isaac Guerendo,RB45,25,11.0,161.0,140.0,166.0,155.67
508,,,,,,197.0,115.0,156.0
701,,,,,,243.0,69.0,156.0
483,,,,,,194.0,118.0,156.0
496,,,,,,195.0,118.0,156.5
714,,,,,,245.0,69.0,157.0
521,,,,,,200.0,115.0,157.5
509,,,,,,197.0,118.0,157.5
327,Marquise Brown,WR65,28,10.0,157.0,128.0,188.0,157.67
534,,,,,,201.0,115.0,158.0
484,,,,,,194.0,123.0,158.5
727,,,,,,248.0,69.0,158.5
497,,,,,,195.0,123.0,159.0
740,,,,,,249.0,69.0,159.0
522,,,,,,200.0,118.0,159.0
535,,,,,,201.0,118.0,159.5
510,,,,,,197.0,123.0,160.0
753,,,,,,252.0,69.0,160.5
430,Tre' Harris,WR44,23,9.0,104.0,228.0,150.0,160.67
186,Jack Bech,WR56,22,10.0,133.0,166.0,183.0,160.67
30,Bhayshul Tuten,RB40,23,10.0,153.0,169.0,,161.0
523,,,,,,200.0,123.0,161.5
546,,,,,,216.0,107.0,161.5
766,,,,,,254.0,69.0,161.5
536,,,,,,201.0,123.0,162.0
559,,,,,,217.0,107.0,162.0
779,,,,,,255.0,69.0,162.0
485,,,,,,194.0,130.0,162.0
498,,,,,,195.0,130.0,162.5
792,,,,,,256.0,69.0,162.5
572,,,,,,218.0,107.0,162.5
585,,,,,,219.0,107.0,163.0
805,,,,,,257.0,69.0,163.0
460,Wan'Dale Robinson,WR68,24,11.0,164.0,144.0,182.0,163.33
818,,,,,,258.0,69.0,163.5
511,,,,,,197.0,130.0,163.5
201,Jalen McMillan,WR54,23,10.0,129.0,210.0,152.0,163.67
598,,,,,,221.0,107.0,164.0
611,,,,,,222.0,107.0,164.5
524,,,,,,200.0,130.0,165.0
624,,,,,,223.0,107.0,165.0
537,,,,,,201.0,130.0,165.5
547,,,,,,216.0,115.0,165.5
374,Rachaad White,RB39,26,10.0,150.0,164.0,184.0,166.0
560,,,,,,217.0,115.0,166.0
573,,,,,,218.0,115.0,166.5
586,,,,,,219.0,115.0,167.0
548,,,,,,216.0,118.0,167.0
232,Jaylen Wright,RB46,22,11.0,165.0,173.0,163.0,167.0
561,,,,,,217.0,118.0,167.5
381,Ray Davis,RB47,25,11.0,168.0,163.0,172.0,167.67
574,,,,,,218.0,118.0,168.0
36,Braelon Allen,RB49,21,11.0,173.0,199.0,132.0,168.0
448,Tyler Allgeier,RB54,25,11.0,185.0,168.0,151.0,168.0
599,,,,,,221.0,115.0,168.0
4,Aaron Rodgers,QB35,41,12.0,232.0,87.0,186.0,168.33
612,,,,,,222.0,115.0,168.5
587,,,,,,219.0,118.0,168.5
625,,,,,,223.0,115.0,169.0
331,Mason Taylor,TE18,21,10.0,141.0,191.0,175.0,169.0
486,,,,,,194.0,144.0,169.0
600,,,,,,221.0,118.0,169.5
549,,,,,,216.0,123.0,169.5
499,,,,,,195.0,144.0,169.5
637,,,,,,233.0,107.0,170.0
562,,,,,,217.0,123.0,170.0
613,,,,,,222.0,118.0,170.0
512,,,,,,197.0,144.0,170.5
575,,,,,,218.0,123.0,170.5
626,,,,,,223.0,118.0,170.5
588,,,,,,219.0,123.0,171.0
650,,,,,,235.0,107.0,171.0
42,Brenton Strange,TE26,24,11.0,186.0,149.0,180.0,171.67
601,,,,,,221.0,123.0,172.0
525,,,,,,200.0,144.0,172.0
663,,,,,,237.0,107.0,172.0
111,DeMario Douglas,WR76,24,11.0,183.0,193.0,141.0,172.33
538,,,,,,201.0,144.0,172.5
411,Tank Dell,WR69,25,11.0,166.0,,179.0,172.5
